SENADOR;PARTIDO;UF;OBS
ACIR GURGACZ;PDT;RO;Sem afastamentos em 2021
ALESSANDRO VIEIRA;CIDADANIA;SE;Sem afastamentos em 2021
ALEXANDRE SILVEIRA;PSD;MG;Sem afastamentos em 2021
ALVARO DIAS;PODEMOS;PR;Sem afastamentos em 2021
ANGELO CORONEL;PSD;BA;Sem afastamentos em 2021
ANTONIO ANASTASIA;PSD;MG;Sem afastamentos em 2021
CARLOS FÁVARO;PSD;MT;Sem afastamentos em 2021
CARLOS PORTINHO;PL;RJ;Sem afastamentos em 2021
CARLOS VIANA;PSD;MG;Sem afastamentos em 2021
CHICO RODRIGUES;DEM;RR;Sem afastamentos em 2021
CHIQUINHO FEITOSA;DEM;CE;Suplente de Tasso Jereissati, em exercício entre 3 de novembro de 2021 e 25 de fevereiro de 2022
CID GOMES;PDT;CE;Sem afastamentos em 2021
CIRO NOGUEIRA;PP;PI;Licenciado para o cargo de Ministro-Chefe da Casa Civil em 4 de agosto de 2021
CONFÚCIO MOURA;MDB;RO;Sem afastamentos em 2021
DANIELLA RIBEIRO;PP;PB;Sem afastamentos em 2021
DÁRIO BERGER;MDB;SC;Sem afastamentos em 2021
DAVI ALCOLUMBRE;DEM;AP;Sem afastamentos em 2021
EDUARDO BRAGA;MDB;AM;Sem afastamentos em 2021
EDUARDO GIRÃO;PODEMOS;CE;Sem afastamentos em 2021
EDUARDO GOMES;MDB;TO;Sem afastamentos em 2021
ELIANE NOGUEIRA;PP;PI;Sem afastamentos em 2021
ELIZIANE GAMA;CIDADANIA;MA;Sem afastamentos em 2021
ELMANO FÉRRER;PP;PI;Sem afastamentos em 2021
ESPERIDIÃO AMIN;PP;SC;Sem afastamentos em 2021
FABIANO CONTARATO;REDE;ES;Sem afastamentos em 2021
FABIO GARCIA;DEM;MT;Sem afastamentos em 2021
FERNANDO BEZERRA COELHO;MDB;PE;Sem afastamentos em 2021
FERNANDO COLLOR;PROS;AL;Sem afastamentos em 2021
FLÁVIO ARNS;PODEMOS;PR;Sem afastamentos em 2021
FLÁVIO BOLSONARO;PATRIOTA;RJ;Sem afastamentos em 2021
GIORDANO;MDB;SP;Suplente sucessor do Major Olímpio, em exercício a partir de 31 de março de 2021
HUMBERTO COSTA;PT;PE;Sem afastamentos em 2021
IRAJÁ;PSD;TO;Sem afastamentos em 2021
IZALCI LUCAS;PSDB;DF;Sem afastamentos em 2021
JADER BARBALHO;MDB;PA;Sem afastamentos em 2021
JAQUES WAGNER;PT;BA;Sem afastamentos em 2021
JARBAS VASCONCELOS;MDB;PE;Sem afastamentos em 2021
JAYME CAMPOS;DEM;MT;Sem afastamentos em 2021
JEAN PAUL PRATES;PT;RN;Sem afastamentos em 2021
JORGE KAJURU;PODEMOS;GO;Sem afastamentos em 2021
JORGINHO MELLO;PL;SC;Sem afastamentos em 2021
JOSÉ ANÍBAL;PSDB;SP;Suplente de José Serra, em exercício de 11 de agosto de 2021 a 31 de janeiro de 2022 
JOSÉ SERRA;PSDB;SP;Sem afastamentos em 2021
KÁTIA ABREU;PP;TO;Sem afastamentos em 2021
LASIER MARTINS;PODEMOS;RS;Sem afastamentos em 2021
LEILA BARROS;PSB;DF;Sem afastamentos em 2021
LUCAS BARRETO;PSD;AP;Sem afastamentos em 2021
LUIS CARLOS HEINZE;PP;RS;Sem afastamentos em 2021
LUIZ CARLOS DO CARMO;MDB;GO;Sem afastamentos em 2021
MAILZA GOMES;PP;AC;Sem afastamentos em 2021
MAJOR OLIMPIO;PSL;SP;Falecido em 18 de março de 2021, sucedido por Alexandre Luiz Giordano
MARA GABRILLI;PSDB;SP;Sem afastamentos em 2021
MARCELO CASTRO;MDB;PI;Sem afastamentos em 2021
MARCIO BITTAR;MDB;AC;Sem afastamentos em 2021
MARCOS DO VAL;PODEMOS;ES;Sem afastamentos em 2021
MARCOS ROGÉRIO;DEM;RO;Sem afastamentos em 2021
MARIA DO CARMO ALVES;DEM;SE;Sem afastamentos em 2021
MARIA ELIZA DE AGUIAR E SILVA;MDB;RO;Suplente de Confúcio Moura, em exercício entre 24 de setembro de 2021 e 25 de janeiro de 2022
MECIAS DE JESUS;REPUBLICANOS;RR;Sem afastamentos em 2021
NAILDE PANTA;PP;PB;Suplente de Daniella Ribeiro, em exercício entre 6 e 21 de janeiro de 2021
NELSINHO TRAD;PSD;MS;Sem afastamentos em 2021
NEY SUASSUNA;REPUBLICANOS;PB;Suplente de Veneziano Vital do Rêgo, em exercício entre 29 de setembro de 2020 e 21 de janeiro de 2021
NILDA GONDIM;MDB;PB;Sem afastamentos em 2021
OMAR AZIZ;PSD;AM;Sem afastamentos em 2021
ORIOVISTO GUIMARÃES;PODEMOS;PR;Sem afastamentos em 2021
OTTO ALENCAR;PSD;BA;Sem afastamentos em 2021
PAULO PAIM;PT;RS;Sem afastamentos em 2021
PAULO ROCHA;PT;PA;Sem afastamentos em 2021
PLÍNIO VALÉRIO;PSDB;AM;Sem afastamentos em 2021
RANDOLFE RODRIGUES;REDE;AP;Sem afastamentos em 2021
REGUFFE;PODEMOS;DF;Sem afastamentos em 2021
RENAN CALHEIROS;MDB;AL;Sem afastamentos em 2021
ROBERTO ROCHA;PSDB;MA;Sem afastamentos em 2021
RODRIGO CUNHA;PSDB;AL;Sem afastamentos em 2021
RODRIGO PACHECO;DEM;MG;Sem afastamentos em 2021
ROGÉRIO CARVALHO;PT;SE;Sem afastamentos em 2021
ROMÁRIO;PL;RJ;Sem afastamentos em 2021
ROSE DE FREITAS;MDB;ES;Sem afastamentos em 2021
SÉRGIO PETECÃO;PSD;AC;Sem afastamentos em 2021
SIMONE TEBET;MDB;MS;Sem afastamentos em 2021
SORAYA THRONICKE;PSL;MS;Sem afastamentos em 2021
STYVENSON VALENTIM;PODEMOS;RN;Sem afastamentos em 2021
TASSO JEREISSATI;PSDB;CE;Sem afastamentos em 2021
TELMÁRIO MOTA;PROS;RR;Sem afastamentos em 2021
VANDERLAN CARDOSO;PSD;GO;Sem afastamentos em 2021
VENEZIANO VITAL DO RÊGO;MDB;PB;Sem afastamentos em 2021
VIRGINIO DE CARVALHO;DEM;SE;Suplente de Maria do Carmo Alves, em exercício entre 16 de julho e 4 de agosto de 2021
WELLINGTON FAGUNDES;PL;MT;Sem afastamentos em 2021
WEVERTON ROCHA;PDT;MA;Sem afastamentos em 2021
ZENAIDE MAIA;PROS;RN;Sem afastamentos em 2021
ZEQUINHA MARINHO;PSC;PA;Sem afastamentos em 2021
